Questions,Answers
"What is the name of the all-wizarding village near Hogwarts?","Hogsmeade"
"Who is the barman of the Hog's Head?","Aberforth Dumbledore"
"What is the name of the store where Harry buys his first wand?","Ollivanders"
"Who is the gamekeeper at Hogwarts?","Rubeus Hagrid"
"What type of creature is Buckbeak?","A Hippogriff"
"Who is the driver of the Knight Bus?","Ernie Prang"
"What does the spell 'Obliviate' do?","Erases memories"
"Who is the librarian at Hogwarts?","Madam Pince"
"What does the spell 'Accio' do?","Summons an object"
"Who is the master of death?","The one who possesses the Deathly Hallows"
"What is the name of Fred and George's joke shop?","Weasleys' Wizard Wheezes"
"Who is the ghost of Slytherin house?","The Bloody Baron"
"What is the name of the potion that restores a person after they've been petrified?","Mandrake Potion"
"Who poses as Mad-Eye Moody in the Goblet of Fire?","Barty Crouch Jr."
"What is the name of the tournament Harry competes in during his fourth year?","The Triwizard Tournament"
"What is the name of the group founded by Hermione to support the rights of house elves?","S.P.E.W."
"Who is the Defense Against the Dark Arts teacher in the Chamber of Secrets?","Gilderoy Lockhart"
"What is the name of the potion that allows the drinker to assume the form of someone else?","Polyjuice Potion"
"Who first shows Harry the diary of Tom Riddle?","Moaning Myrtle"
"What is the name of the book Dumbledore leaves for Hermione in his will?","The Tales of Beedle the Bard"
"Who is the Muggle Studies teacher killed in the Deathly Hallows?","Charity Burbage"
"What is the name of the charm used to keep Muggles away from wizarding places?","Repelling Charm or Muggle-Repelling Charm"
"Who is the oldest Weasley sibling?","Bill Weasley"
"What is the name of the mirror that shows the deepest desires of one's heart?","The Mirror of Erised"
"Who is the head of the Auror Office after the Second Wizarding War?","Harry Potter"
"What is the name of the fountain in the Ministry of Magic?","The Fountain of Magical Brethren"
"What is the name of the goblin who helps Harry, Ron, and Hermione break into Gringotts?","Griphook"
"What is the name of the spell that conjures the Dark Mark?","Morsmordre"
"What is the name of the curse that controls another's actions?","Imperius Curse"
"What is the name of the curse that inflicts unbearable pain?","Cruciatus Curse"
"What is the name of the Black family's house-elf?","Kreacher"
"What is the name of the magical law enforcement squad?","The Aurors"
"Who becomes the owner of the Elder Wand after Draco Malfoy?","Harry Potter"
"What is the name of the centaur who lives in the Forbidden Forest?","Firenze"
"Who is the professor of Herbology?","Pomona Sprout"
"What is the name of the street where Harry lives with the Dursleys?","Privet Drive"
"Who is the Half-Blood Prince?","Severus Snape"
"What is the name of the Weasley's family owl?","Errol"
"Who is the editor of The Quibbler?","Xenophilius Lovegood"
"What is the name of the potion that induces a powerful infatuation or obsession?","Amortentia"
"Who is the keeper of keys and grounds at Hogwarts?","Rubeus Hagrid"
"What is the name of the device used to travel back in time?","Time-Turner"
"Who is the ghost of Hufflepuff house?","The Fat Friar"
"What is the name of the magical plant that screams when uprooted?","Mandrake"
"What is the name of the mirror that shows the deepest desires of one's heart?","The Mirror of Erised"
"What is the name of the group that opposes Voldemort?","The Order of the Phoenix"
"Who is the head of the Auror Office after the Second Wizarding War?","Harry Potter"
"What is the name of the fountain in the Ministry of Magic?","The Fountain of Magical Brethren"
"What is the name of the goblin who helps Harry, Ron, and Hermione break into Gringotts?","Griphook"
"What is the name of the spell that conjures the Dark Mark?","Morsmordre"
"What is the name of the curse that controls another's actions?","Imperius Curse"
"What is the name of the curse that inflicts unbearable pain?","Cruciatus Curse"
"What is the name of the Black family's house-elf?","Kreacher"
"What is the name of the magical law enforcement squad?","The Aurors"